,Title,Time,Content
0,Egypt non-oil private-sector activity expands for first time in 8 months -PMI - Reuters,"May 5, 2019 /  4:16 AM / Updated 3 hours ago","3 Min ReadCAIRO, May 5 (Reuters) - Egypt’s non-oil private-sector activity expanded for the first time in eight months in April, and saw its highest reading since August 2015, a survey showed on Sunday. The Emirates NBD Egypt Purchasing Managers’ Index (PMI) for the non-oil private sector strengthened to 50.8 in April from 49.9 in March, breaching the 50 mark that separates growth from contraction for the first time since August last year. The April reading was the highest in over three-and-a-half years, and only the sixth reading in positive territory since. Analysts linked the improved overall business conditions largely to “greater market movement and an increase in demand,” the PMI report said. A sub-index for output also returned to expansion, rising to 51.1 in April from 49.9 in March. The upswing came after last month’s significant rise of over three points, reaching its highest since August. “The improvement from the first quarter – the PMI index averaged just 48.9 over January to March – was broad-based, with most of the index’s subcomponents returning positive 50-plus readings,” said Daniel Richards, MENA economist at Emirates NBD. The output sub-index was positive for the first time since November 2017 “as firms noticed stronger demand, and a positive reading for new orders for the second month in a row bodes well for this continuing over subsequent readings,” Richards said. New exports orders remained in contractionary territory, though rose to 48.9 in April from 46.8 in March. It was the slowest contraction since December. “Some firms noted a lack of new foreign contracts and a shift in focus towards domestic sales,” the report said, while “others saw higher demand from new markets such as Italy, Turkey and Japan.” Future output sentiment improved from March, and saw its second-highest reading in 12 months. Companies said “new projects, increased tourism and expansion into new foreign markets are likely to boost business activity,” the report said. “With input prices increasing at a faster rate than seen in March, firms’ margins will be squeezed by ongoing price discounting,” Richards said. “Nevertheless, they appear to be more confident with regards (to) future conditions”. “This greater optimism is reflected in their hiring, as employment returned a reading above 50.0 – albeit marginally – for the first time since 2015.” (Reporting by Yousef Saba Editing by Ros Russell)All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved."
1,Elliott wants Whitbread to offload chunks of its property portfolio: Sunday Telegraph - Reuters,"May 4, 2019 /  10:31 PM / Updated 9 hours ago","2 Min Read(Reuters) - Elliott Advisors has become increasingly frustrated with Whitbread Plc’s strategy of owning Premier Inn hotels outright and wants the company to offload chunks of its 5.8 billion pound ($7.64 billion) property portfolio, the Sunday Telegraph reported. According to the report on Saturday, the activist investor believes Whitbread’s strategy is “depressing” the company’s share price and is leaving it open to a cut-price hostile takeover. Citing city sources, the newspaper said Elliott wanted Whitbread to sell 10 to 15 percent of its hotel portfolio and “continue to be open minded about the rest”. The shareholder is also keen for Whitbread to bolster its board with directors having hotel industry experience, the Sunday Telegraph reported, adding that the company was searching for board members with experience of operating hotels in continental Europe. Last August, Whitbread agreed to sell its almost 4,000 Costa coffee shops to Coca-Cola Co for $5.1 billion after pressure from hedge funds, including activist investor Elliott, which said the coffee chain was held back by being grouped with the Premier Inn hotel chain. Whitbread and Elliott advisors did not immediately respond to requests seeking comment on the report. ($1 = 0.7589 pounds) Reporting by Philip George in Bengaluru; Editing by Daniel WallisAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved."
2,"Warren Buffett defends Kraft, says Wells Fargo made 'big mistakes' - Reuters","May 4, 2019 /  5:13 AM / Updated 10 hours ago","6 Min ReadOMAHA, Neb. (Reuters) - Warren Buffett on Saturday signaled his commitment to Kraft Heinz Co and defended his actions toward Wells Fargo & Co, two of the largest investments at his Berkshire Hathaway Inc, despite mistakes at both that have caused many investors to sour on them. Buffett, 88, spoke before tens of thousands of people in Omaha, Nebraska, where the Berkshire Chairman and Chief Executive Officer and Vice Chairman Charlie Munger, 95, fielded more than 50 shareholder and analyst questions for six hours at the centerpiece of a weekend of events. Kraft Heinz has been a thorn for Berkshire, which in February took a $3 billion writedown on its 26.7 percent stake, because of the packaged food company’s inability to keep up with changing consumer tastes and reliance on older brands such as Oscar Mayer and Jell-O. The company was created from the 2015 merger of Kraft Foods and H.J. Heinz, the latter of which had been owned by Berkshire and Brazil’s 3G Capital, which runs Kraft Heinz day-to-day. Buffett defended 3G’s management, saying the combined company is doing well operationally, and that its current problems cannot be blamed on a lack of investment. But he also maintained that “we paid too much money” for Kraft. “You can turn any investment into a bad deal by paying too much,” he said, while adding it was “not inconceivable” Berkshire could partner with 3G again on a transaction. He said 3G had more willingness to take on leverage and “pay up,” but in many cases also had “way better operators.” Buffett, who became famous in 1991 for criticizing Salomon Inc’s practices and becoming interim chairman to right the mess, also faced a question about his relative silence about Wells Fargo, where Berkshire owns a nearly 10-percent stake. Wells Fargo has spent more than 2-1/2 years addressing fallout from mistreating its customers, including by creating fake accounts, losing two chief executives in the process, including Tim Sloan in March. Buffett repeated that Wells Fargo “made some big mistakes” in its sales practices, and that “when you find a problem, you have to do something about it.” He also said chief executives who make big mistakes shouldn’t walk away with their wealth. But many questionable Wells Fargo practices long predated Sloan’s becoming chief executive, and Buffett and Munger have defended him. “I don’t think people ought to go to jail for honest errors of judgment,” Munger said, calling Sloan an “accidental casualty.” Berkshire also reported on Saturday that operating income, a measure of Berkshire’s business performance, rose 5 percent, helped by the Geico auto insurer and BNSF railroad, though it fell just shy of analyst forecasts. Results excluded Kraft Heinz because that company has not released its own quarterly results, Buffett said. Berkshire also repurchased $1.7 billion of stock, reflecting Buffett’s difficulty in finding better uses for the company’s $114.2 billion cash hoard. Buffett acknowledged he would be willing to repurchase $100 billion of stock if it became cheap enough, and Munger predicted Berkshire would become “more liberal” with buybacks. “This much cash is certainly a drag” for Buffett, said Trip Miller, managing partner of Gullane Capital Partners LLC in Memphis. “He and Charlie are certainly open that they missed it on several great businesses for many years. The purchases of Apple and Amazon are a good sign.” Berkshire owns more than $50 billion of Apple Inc stock, and Buffett said one of Berkshire’s portfolio managers, Todd Combs and Ted Weschler, has invested in Amazon.com Inc. Munger also lamented Berkshire’s failure to invest in Google, now part of Alphabet Inc, saying “I feel like a horse’s ass for not identifying Google earlier.” Berkshire’s more than 90 businesses and roughly 389,000 employees make the company a barometer for the U.S. economy, and a report card for one of the world’s most revered investors. The shareholder weekend is not all business. Buffett on Saturday morning made his usual slow-motion crawl, with a crowd of photographers in tow, through an exhibit hall where shareholders could buy Berkshire-owned products, including 20,000 pounds of See’s candies and 28,752 Dairy Queen bars. “We love you Warren,” shareholders shouted as Buffett nibbled a Dairy Queen vanilla orange bar. People lined up before midnight to get early access to the best seats at the arena, which opened at 7 a.m. Daphne Kalir-Starr, 9, a fourth-grader from New York City, lined up with her father at 11 p.m. on Friday night, along with her sleeping bag. It’s her third time to see Buffett. “I really like hearing from great investors,” she said. “Even though he wasn’t really recognized at the beginning, he kept working at it.” Bela Chowdhury, 49, came from Kolkata, India, with other students from a nonprofit group that promotes financial literacy for women. “He is the ultimate guru,” she said. Meanwhile, Luke On, a University of Toronto finance undergraduate, said he lined up at 10 p.m. on Friday. “I have no place to stay and wanted to save money, but I wanted to see Warren and Charlie,” he said. Reporting by Trevor Hunnicutt and Jonathan Stempel in Omaha, Nebraska; Editing by Jennifer Ablan and Nick ZieminskiAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved."
3,"BRIEF-Warren Buffett, Charlie Munger, Greg Abel answer questions at Berkshire annual meeting; board is elected - Reuters","May 4, 2019 /  8:50 PM / in 10 hours","4 Min ReadMay 4 (Reuters) - Buffett says it is good if fannie mae and freddie mac are authorized to do more lending against manufactured homes Buffett says we would love to put more money into the united kingdom Buffett says we are hoping for a deal in the uk an europe regardless of how brexit turns out Buffett says berkshire hathaway will be one of the safest places to make money over time Buffett said berkshire hathaway would probably under-perform if a very strong bull market in stocks were to start Greg abel says we have had 5 customers leave power system in nevada but still use distribution services; we are disappointed Greg abel says nv energy is developing sustainable energy and will prosper in the long run Buffett, on elon musk’s suggestion that tesla might get into insurance, says automakers getting into insurance would be as successful as insurers getting into auto industry Buffett says about the $10 bln occidental transaction: “if somebody wants a lot of certain money for a deal, they’ve seen that i can get a call on friday afternoon and they can make a date on saturday, and on sunday it’s done.” Buffett, in discussing the recent occidental petroleum corp financing announcement, touts how quickly he can make a deal; ‘if anyone else needs $10 bln in two days, they’ll think of berkshire,’ buffett says Warren buffett, charlie munger retake stage for second half of berkshire hathaway annual shareholder meeting Buffett, asked why berkshire doesn’t invest more in technology companies, says he doesn’t want to try to win a game he doesn’t understand Buffett says will invest where he believes berkshire will have a high batting average of success, not because someone else says it’s a good idea Buffett, asked about geico’s competitiveness, says rival progressive is ‘very well run,’ adding: ‘to some extent it’s a two-horse race, and we’ve got a very good horse’ Buffett says ‘independent’ corporate directors can be among the least independent if they are dependent on income from holding board seats Berkshire vice chairman greg abel says berkshire hathaway energy is focused on expanding transmission program, supplemented by renewables Buffett says his successor may wish to deploy berkshire’s excess cash in index funds rather than treasury bills and other cash equivalents Buffett says there are conditions where berkshire could spend $100 bln ‘very very quickly’ but they were not imminent Buffett says runs businesses in manner consistent with interests of shareholders who have all their money in berkshire stock Buffett says he likes the idea of more americans having access to affordable housing, including manufactured homes from berkshire’s clayton homes unit Buffett, asked why berkshire appears to be providing less financial information in annual reports, says ‘i don’t think we actually provide less information’ Buffett says companies can file 300-page reports and ‘lose people’ who would be better off with much shorter reports Buffett says ‘i would like to see berkshire hathaway better known in the u.k. And europe,’ and hope more people there would consider berkshire as a buyer when selling their businesses Buffett said it has been a ‘tough period’ for portfolio managers to beat s&p 500 Buffett says as to berkshire’s todd combs and ted weschler, one was modestly ahead and one was modestly behind the s&p index from january to march Shareholders applaud buffett and munger as question-and-answer portion of berkshire annual meeting ends; formal portion of meeting to follow Buffett says berkshire shareholders elect all director candidates who were up for election Berkshire hathaway annual meeting ends; buffett says “i hope i see you next year”All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved."
4,Warren Buffett: Berkshire discloses enough about itself - Reuters,"May 4, 2019 /  8:39 PM / Updated 10 hours ago","2 Min ReadOMAHA, Neb., May 4 (Reuters) - Warren Buffett on Saturday rejected a frequent criticism that his Berkshire Hathaway Inc does not disclose enough about its more than 90, often large operating businesses or its common stock investments. Buffett defended Berkshire’s disclosures in responding to three questions at Berkshire’s annual shareholder meeting in Omaha, Nebraska. Meyer Shields, of Keefe, Bruyette & Woods, is among the critics of Berkshire’s disclosures, saying in an April 28 report they leave investors “disproportionately reliant” on Buffett’s public persona and past investment successes rather than actual knowledge about the company. Berkshire owns or co-owns several companies, such as the BNSF railroad, large enough to be in the Fortune 500 on their own, yet which merit no more than a couple of pages in its quarterly and annual reports. Profit and revenue for many smaller units are not disclosed at all. Buffett said “I don’t think we actually provide less information” in periodic reports, but may present it in a different form. He insisted that overwhelming investors with technical information was the wrong idea, saying you can “lose people” in a 300-page report that says less than a 50-page report. Buffett also said Berkshire did not need to know the reasoning beyond its investments in stocks generally and foreign stocks, saying it might require the disclosure of proprietary strategies or would not be legally required. Reporting by Trevor Hunnicutt and Jonathan Stempel in Omaha,
Nebraska; Editing by Jennifer Ablan and Nick ZieminskiAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved."
5,"'We screwed up' not buying Google shares, Berkshire's Munger says - Reuters","May 4, 2019 /  6:40 PM / Updated 12 hours ago","1 Min ReadMay 4 (Reuters) - One of Warren Buffett’s and Charlie Munger’s biggest regrets was not buying shares of Google owner Alphabet Inc. “I don’t mind not having caught Amazon early,” Munger said. “The guy (Jeff Bezos) is kind of a miracle worker, it’s very peculiar. ... But I feel like a horse’s ass for not identifying Google earlier ... We screwed up.” Buffett and Munger were asked if Berkshire Hathaway’s investing philosophy had changed given that one of Berkshire’s portfolio managers recently bought shares of Amazon.com Inc . Todd Combs and Ted Weschler manage roughly $26 billion of Berkshire’s investments. Munger said he and Buffett saw how great search engine optimization was used in its Berkshire-owned GEICO and “we just sat there sucking our thumbs.” (Reporting By Jennifer Ablan Editing by Nick Zieminski)All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved."
6,Kraft Heinz's chief marketing officer Eduardo Luz to depart at end of May - Reuters,"May 4, 2019 /  6:33 PM / Updated 12 hours ago","2 Min ReadMay 4 (Reuters) - Kraft Heinz Co’s chief marketing officer Eduardo Luz is leaving the company at the end of May, a spokesperson for the company said on Saturday. Kraft Heinz's president of beverages, snacks and desserts, Adam Butler, will be taking Luz's responsibilities on an interim basis, according to CNBC, which first reported cnb.cx/2GVzvYb the departure. The move comes after the company named 30-year marketing veteran Miguel Patricio as its next chief executive in April. Patricio succeeds Bernando Hees, who was made CEO in 2015. Kraft Heinz’s second-biggest shareholder, Brazilian private equity fund 3G Capital, has pushed the company to control expenses to tackle higher costs and sluggish growth. In February, Kraft Heinz cut its quarterly dividend and wrote down the value of its Kraft and Oscar Mayer brands, highlighting the tough environment in the packaged food industry. It also disclosed a U.S. Securities and Exchange Commission investigation into the company. Reporting by Sabahatjahan Contractor and Ishita Chigilli Palli
in Bengaluru; Editing by Meredith MazzilliAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved."
7,"HIGHLIGHTS-Wit and wisdom of Warren Buffett, the 'Oracle of Omaha' - Reuters","May 4, 2019 /  3:29 PM / in 13 hours","5 Min Read(Adds comments on Apple, 3G Capital and Google) NEW YORK, May 4 (Reuters) - Warren Buffett, the 88-year-old chairman and chief executive of Berkshire Hathaway Inc, is taking hours of questions from investors, analysts and journalists at the conglomerate’s annual shareholder meeting on Saturday. Buffett’s marathon Q&A session is part of what the billionaire investor calls “Woodstock for Capitalists,” the annual shareholder weekend for his company. Below are some of Buffett’s comments, and those of Berkshire’s Vice Chairman Charlie Munger, on a wide range of topics. “I like our Apple holdings very much,” Buffett said on Apple being Berkshire’s largest holding, declining to discuss expectations about the company. Munger added: “In my family, the people who have Apple phones, it’s the last thing they’ll give up.” “They have more of a taste of leverage than we do… but they also ... in certain types of situations ... would be way better operators,” Buffett said. Buffett called Jorge Paulo Lemann, co-founder of Brazilian investment firm 3G Capital, “a good friend of mine and marvelous human being.” Munger said not buying shares of Google was a big mistake. “We just sat there sucking our thumbs,” Munger said. “We’re ashamed.” “Amazon itself has become a brand. Kirkland is now a brand doing $39 billion. Kirkland does more business than Coke does. Certain retail systems have gained some power, and particularly in the case of Amazon and Walmart and Costco, have gained in power relative to brands.” “Kraft-Heinz is still doing very well operationally, but we paid too much.” Buffett added: “You can turn any investment into a bad deal by paying too much. What you can’t do is turn something into a good deal by paying little.” “I’m a card-carrying capitalist. I believe we wouldn’t be sitting here except for the market system and the rule of law ... that are embodied in this country. So you don’t have to worry about me changing in that manner.” “The people making the decision on (buying) Amazon are absolutely value investors. That has not changed. They are following value principles. They are smart. They are totally committed to Berkshire. I don’t second-guess them.” “The considerations are identical when you buy Amazon versus some bank stock that looks cheap statistically.” “The new GAAP rules .... require that we mark our securities to market and report any unrealized gains. The bottom line figures are going to be totally capricious. “I really regard these bottom line figures ... as potentially being harmful to our shareholders and really not being helpful. Focus on what we call our operating earnings, which were up a bit.” “The question whether we had a $100 billion or $200 would not make a difference in our approach to repurchase shares. We used to have a policy of tying to book value, but that became ... obsolete.” “We could do it (buy back $100 billion of Berkshire stock). We will spend a lot of money. We’ve been involved in companies where the number of shares has been reduced 70-80 percent over time. “If our stock gets cheap relative to intrinsic value, we will not hesitate. We would certainly be willing to spend $100 billion.” Berkshire will “probably be more liberal when it comes to repurchasing shares.” “Wells made some big mistakes in what they incentivized. The interesting thing is the extent to which they set up fake accounts, couple million of them that had no balance in them, that could not possibly have been profitable to Wells.” “When you find a problem, you have to do something about it. I think that’s probably where they made a mistake.” “Wells has become Exhibit One. Go back a few years, there’s quite a list of banks where people have behaved badly.” ON HIS 60-YEAR PARTNERSHIP WITH MUNGER “We make the big decisions jointly. It’s just that we haven’t had any big decisions.” Compiled by Nick Zieminski and Jennifer Ablan in New York;
Editing by Daniel WallisAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved."
8,"BRIEF-Warren Buffett, Charlie Munger, Ajit Jain make comments at Berkshire annual meeting - Reuters","May 4, 2019 /  5:01 PM / Updated 14 hours ago","3 Min ReadMay 4 (Reuters) - Buffett says first quarter was weak at all four of our furniture operations Buffett says he would not get excited about so-called alternative investments Buffett says people who made decision to invest in amazon are as much value investors as he is Buffett says berkshire portfolio managers todd combs, ted weschler are ‘absolutely following value principles” in investing, including whoever invested in amazon.com Buffett says ‘you could not have two better operating managers’ than berkshire vice chairmen greg abel, ajit jain Buffett, asked why other berkshire leaders don’t answer shareholder questions at annual meeting, says ‘this format won’t be around forever’ Buffett says precision castparts’ profit margins are below what was projected 2 years ago Buffett says he expects precision castparts’ earnings to improve significantly Vice chairman ajit jain, who oversees berkshire insurance businesses, says he avoids many insurance contracts because there is a lack of data to “hang our hat on” Buffett says he says he is pleased to be partners with 3g capital, but they have more of a taste for paying up Buffett says it is ‘conceivable’ that something could come up where berkshire and 3g would work together again, and that in some cases ‘they are way better operators’ Buffett says he likes apple inc very much but wishes price was lower so he could buy more Buffett says he has been surprised by how little people have moved into houses, hurting u.s. Furniture operations Buffett says rewards are higher for being a great salesperson than a great analyst in investment management Buffett says decision by others at berkshire to buy amazon follow value investing principles Buffett says it is probably a good idea to bring berkshire managers ajit jain and greg abel on stage to answer questions Buffett says fed changes to regulations on bank-holding companies mean less of deterrent for berkshire Buffett says berkshire holdings of some companies may now drift higher than 10% over time Buffett calls jorge paulo lemann, co-founder of brazilian investment firm 3g capital, ‘a good friend of mine and marvelous human being’ Berkshire Hathaway annual meeting adjourns for lunch breakAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved."
9,Erdogan signals he backs re-run of contested Istanbul vote - Reuters,"May 4, 2019 /  12:53 PM / Updated 15 hours ago","4 Min ReadANKARA (Reuters) - Turkish President Tayyip Erdogan signaled on Saturday he backs a re-run of mayoral elections in Istanbul which resulted in a narrow victory for the main opposition Republican People’s Party (CHP) for the first time in 25 years. Erdogan’s ruling AK Party (AKP), which also lost control of the capital Ankara in the March 31 local elections, has already filed an appeal to Turkey’s High Election Board (YSK) to annul and re-run the election in Istanbul due to what it says were irregularities. The YSK is expected to rule on the AKP challenge on Monday, but it has ordered district electoral officials in Istanbul to investigate their respective ballot box officials in its interim rulings.  Prosecutors on Thursday launched probes into allegations of irregularities in Istanbul and summoned more than 100 polling station officials for questioning as suspects, in a move the opposition CHP said would not alter the results of the vote. Speaking to Turkish businesspeople in Istanbul, Erdogan said the Istanbul elections were marred by irregularities and called on the YSK to make a decision that would eliminate controversies and “clear its name”. “My people tell me the elections should be renewed. I have not spoken until now, I’ve been silent. But everyone else has spoken. Enough already,” Erdogan said. “There is a controversy here, it’s clear. There is an irregularity here, that’s clear too. Let’s go to the people and see what they say and whatever the outcome, we will accept it.”  Erdogan had accused the opposition of supporting “terrorism” and labeled the local election a “matter of survival” for Turkey during his campaign, which was held amid growing disenchantment among voters over economic woes. CHP spokesman Faik Oztrak told reporters later on Saturday that it was time for Erdogan and his AKP to accept defeat. “The real matter of survival here is those who put aside the people’s concerns about food prices, wages and focus instead on their own benefits,” Oztrak told a news conference in Ankara. “There is only one thing that can clear the YSK. That is for it to act in line with its regulations and previous rulings.” The uncertainty over the results in Istanbul, which accounts for around a third of the country’s economy, has kept financial markets on edge, as Turkey tries to recover from a currency crisis that saw the lira lose more than 30 percent of its value last year. On Friday, CHP leader Kemal Kilicdaroglu said the Istanbul elections had become a test of democracy. He accused the AKP of exerting political pressure on the YSK to order a re-run of the vote. Erdogan said his party was only exercising its legal rights. “Claiming that Tayyip Erdogan is trying to steal an election he has no right to is the biggest insult,” Erdogan said. “We are not hurling threats, we’re just waiting.” While the CHP’s Ekrem Imamoglu took office as Istanbul’s new mayor last month, the AKP won 25 of the city’s 39 districts and the majority of seats in the municipal council. It has said that this proved irregularities had taken place. Speaking to his supporters on Saturday, Imamoglu said the AKP appeals were unreasonable. “So the 25 districts are all clean, the municipal council votes are perfect, but when it comes to the mayorship, there is an irregularity. We can only laugh at this,” Imamoglu said. Reporting by Tuvan Gumrukcu; Editing by Gareth Jones and Ros RussellAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved."
