,Title,Time,Content,Link,Date,Len
1,Fed's Clarida says there's no good case for rate hikes or cuts: Bloomberg - Reuters,"May 7, 2019 /  2:34 PM / in 3 minutes","2 Min ReadWASHINGTON (Reuters) - The U.S. Federal Reserve does not see a good case for raising or lowering interest rates and its current policy stance could help inflation move toward the central bank’s 2 percent target, Fed Vice Chair Richard Clarida said on Tuesday. “We don’t see a strong case to move rates in either direction,” Clarida told Bloomberg television, largely echoing comments made last week by Fed Chair Jerome Powell. “Monetary policy is in a good place right now.” The Fed held interest rates steady last week and policymakers have been stressing the central bank will be “patient” in making any changes to policy. A few policymakers, however, have recently expressed concern over persistently low inflation and have indicated that rate cuts might eventually be needed. Clarida, however, said there were signs the recent weakness in inflation was driven by temporary factors and over time prices would move in line with the Fed’s target. “It’s going to be an important priority of policy to get us to 2 percent inflation,” Clarida said, saying the Fed would adjust policy as needed to get to its objective. Reporting by Jason Lange; Editing by Chizu NomiyamaAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.",https://www.reuters.com/article/usa-fed-clarida/update-1-feds-clarida-says-theres-no-good-case-for-rate-hikes-or-cuts-bloomberg-idUSL2N22J0LE,2019-05-07,1311
2,Investors most neutral on U.S. Treasuries in five weeks - survey - Reuters,"May 7, 2019 /  2:37 PM / a minute ago","1 Min ReadNEW YORK, May 7 (Reuters) - Bond investors were the most neutral about owning U.S. longer-dated government debt in five weeks, as the Federal Reserve signaled the economy does not warrant a change in interest rates in either direction right now, a J.P. Morgan survey showed on Tuesday. The share of investors who said they are neutral or hold longer-dated Treasuries matching their portfolio benchmarks, increased to 59%, up from 53% the prior week, J.P. Morgan said. This was highest reading on the number of neutral investors since April 1, it said. Reporting by Richard Leong
Editing by Chizu NomiyamaAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.",https://www.reuters.com/article/treasuries-jpmorgan/investors-most-neutral-on-u-s-treasuries-in-five-weeks-survey-idUSL2N22J0M1,2019-05-07,747
4,Fed's Clarida says there's no good case for rate hikes or cuts-Bloomberg - Reuters,"May 7, 2019 /  2:28 PM / Updated 16 minutes ago","1 Min ReadWASHINGTON, May 7 (Reuters) - The U.S. Federal Reserve does not see a good case for raising or lowering interest rates and its current policy stance could help inflation move toward the central bank’s 2 percent target, Fed Vice Chair Richard Clarida said on Tuesday. “We don’t see a strong case to move rates in either direction,” Clarida told Bloomberg television, largely echoing comments made last week by Fed Chair Jerome Powell. “Monetary policy is in a good place right now.” (Reporting by Jason Lange Editing by Chizu Nomiyama)All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.",https://www.reuters.com/article/usa-fed-clarida/feds-clarida-says-theres-no-good-case-for-rate-hikes-or-cuts-bloomberg-idUSS0N1YO04B,2019-05-07,677
5,"UPDATE 1-Sterling slides to day's low on Brexit nerves, pressure on PM May - Reuters","May 7, 2019 /  2:27 PM / in a minute","3 Min Read* Graphic: World FX rates in 2019 tmsnrt.rs/2egbfVh * Graphic: Trade-weighted sterling since Brexit vote tmsnrt.rs/2hwV9Hv (Recasts, adds details) By Tom Finn LONDON, May 7 (Reuters) - Sterling slid nearly half a percent on Monday on rising concerns about the progress of Brexit negotiations and worries Prime Minister Theresa May is facing a mounting challenge to her leadership. May is set to meet Graham Brady, chairman of an influential committee representing members of parliament from her Conservative party, amid calls for her to set a date to step down, the BBC reported. “Currently Theresa May is walking on thin ice as the latest reports indicate a revolt against her could take place. MPs (Members of parliament) are probably not satisfied with cross-party talks so far. Therefore the pound is being dragged down as another dose of uncertainty hits the market,” said Marc-André Fongern of MAF Global Forex. The British currency was generally weak across the board, reserving some of its biggest losses against the dollar and the low yielding Japanese yen. Against the dollar, the pound slipped as much as 0.5 percent to $1.3040 before recovering slightly to trade 0.4 percent down at $1.3051. It also weakened a quarter of a percent against the euro at 85.69 pence and 0.7 percent against the yen at 144.21 yen. A dollar rising at the start of the U.S. trading session also hit the pound. “There is broad dollar strength across the board but it is being felt more acutely through sterling,” said Kamal Sharma, a director of G10 FX strategy at Bank of America Merrill Lynch. Britain’s Conservative government and the opposition Labour Party resumed Brexit talks to try to find a way to break the deadlock in parliament over the country’s departure from the European Union. May agreed a withdrawal deal with the EU last year, but it was rejected three times by a deeply divided British parliament. That delayed the exit date, a postponement that has weighed on the pound as investors fret about prolonged political uncertainty. Sterling has traded in a narrow range of $1.28-$1.31 since Britain pushed its scheduled departure from the European Union back from March until Oct. 31. There is still little clarity about when, how, or even if, Brexit will happen. Investors have been broadly impervious to tepid economic data recently and even relatively hawkish comments from the Bank of England last week failed to jolt the currency. Overall volatility in the currency markets remained near five-year lows and net positions by hedge funds in sterling have slipped back into negative territory. Reporting by Tom Finn; Additional reporting by Saikat
Chatterjee and Thyagaraju Adinarayan
Editing by Janet Lawrence and Peter GraffAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.",https://www.reuters.com/article/britain-sterling-open/update-1-sterling-slides-to-days-low-on-brexit-nerves-pressure-on-pm-may-idUSL5N22J6HL,2019-05-07,2876
6,CANADA STOCKS-TSX falls for second day on U.S.-China trade worries - Reuters,"May 7, 2019 /  2:28 PM / Updated 16 minutes ago","2 Min ReadMay 7 (Reuters) - Canada’s main stock index fell on Tuesday, as worries about a deterioration in trade negotiations between the United States and China made investors wary of riskier assets. * At 9:47 a.m. ET, the Toronto Stock Exchange’s S&P/TSX composite index was down 109.13 points, or 0.66 percent, at 16,384.33, extending its decline from the previous day when U.S. President Donald Trump vowed to double down tariffs on Chinese goods. * U.S. Trade Representative Robert Lighthizer said on Monday Beijing had reneged on commitments it had made previously that would have changed the agreement substantially. * Chinese Vice Premier Liu He is expected to be in Washington on Thursday and Friday for further talks. * Nine of the 11 major sectors were lower, led by a 2.04 percent drop in the energy sector. Oil prices took another beating amid concerns over global growth. * The materials sector, which includes precious and base metals miners and fertilizer companies, lost 1.3 percent as copper prices headed toward 2-1/2 month lows. * Iamgold Corp fell 10.3 percent, the most on the TSX, after the gold miner reported quarterly revenue below estimates. The second biggest decliner was Hudbay Minerals Inc , down about 10 percent after results. * The largest percentage gainers on the TSX were Kirkland Lake Gold Ltd, which rose 4.8 percent and WestJet Airlines Ltd that jumped 3.3 percent after their results. * The most heavily traded shares by volume were Enbridge Inc , Hanwei Energy Services and Harte Gold Corp . * The TSX posted three new 52-week highs and five new lows. * On the TSX, 64 issues were higher, while 168 issues declined for a 2.63-to-1 ratio to the downside, with 24.14 million shares traded. * Across all Canadian issues there were seven new 52-week highs and eight new lows, with total volume of 39.93 million shares. (Reporting by Sruthi Shankar in Bengaluru; Editing by Arun Koyyur)All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.",https://www.reuters.com/article/canada-stocks/canada-stocks-tsx-falls-for-second-day-on-u-s-china-trade-worries-idUSL3N22J4AZ,2019-05-07,2056
7,Wall Street declines on U.S.-China trade tensions - Reuters,"May 7, 2019 /  11:08 AM / Updated 13 minutes ago","4 Min Read(Reuters) - U.S. stocks posted broad-based declines on Tuesday, led by tariff-sensitive industrial companies, as renewed worries over trade negotiations with China stoked global growth worries and kept investors away from risky assets.   Chinese Vice Premier Liu He will visit the United States this week for trade talks, Beijing said on Tuesday, playing down a sharp increase in tensions after U.S. President Donald Trump vowed to impose new tariffs. Trump in a surprise move on Sunday said the higher levies would go into effect on Friday if a deal with China was not sealed, triggering a global selloff in equities and inflamed fears of a slowdown in global growth. “There is some uncertainty on what the ultimate result of the trade negotiations will be. If there is no deal that will be interpreted quite negatively by markets,” said Matt Forester, chief investment officer of BNY Mellon’s Lockwood Advisors in King of Prussia, Pennsylvania. All the major S&P sectors were trading lower, with the industrial sector, posting the steepest decline of 1.6%. Boeing Co, the single largest U.S. exporter to China, slipped 1.8% and Caterpillar Inc declined 1.3%. Boeing’s stock was also weighed by report of a Barclays downgrade to “equal weight”.     Trade tensions also pressured oil prices, pushed U.S. Treasury yields lower and halted a recent rally that propelled the S&P 500 and the Nasdaq to record highs.  Interest rate sensitive banking stocks dropped 1.49% and the broader financial sector fell 1.18%. Adding to growth worries, the European Commission revised down euro area growth forecasts and cut its already gloomy outlook on Italy. At 9:53 a.m. ET the Dow Jones Industrial Average was down 284.00 points, or 1.07%, at 26,154.48. The S&P 500 was down 32.81 points, or 1.12%, at 2,899.66 and the Nasdaq Composite was down 94.62 points, or 1.16%, at 8,028.67. High growth companies including Microsoft Corp, Apple Inc, Amazon.com Inc and Facebook Inc fell more than 1% and weighed on markets. The earnings season has now reached its homestretch. Of the 392 S&P companies that have reported earnings so far, about 75% have surpassed analysts’ estimates, according to Refinitiv data. The upbeat reports have turned around earnings estimates for the first quarter to an almost 1% rise, a huge improvement from the 2.3% decline expected at the start of the earnings season. American International Group Inc jumped 7.7%, the most among S&P companies, after the insurer reported a quarterly profit that blew past expectations. Among decliners, Mylan NV tumbled 10.8% after the drugmaker missed Wall Street estimates for quarterly revenue, hurt partly by manufacturing problems at its Morgantown plant in West Virginia. Shares of Regeneron Pharmaceuticals Inc fell 6% after the drugmaker missed quarterly profit estimates. Declining issues outnumbered advancers for a 4.31-to-1 ratio on the NYSE and for a 2.85-to-1 ratio on the Nasdaq. The S&P index recorded four new 52-week highs and four new lows, while the Nasdaq recorded 29 new highs and 15 new lows. Reporting by Amy Caren Daniel and Shreyashi Sanyal in Bengaluru; Editing by Shounak Dasgupta and Arun KoyyurAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.",https://www.reuters.com/article/usa-stocks/us-stocks-wall-street-declines-on-u-s-china-trade-tensions-idUSL3N22J3UR,2019-05-07,3312
8,Scout24 bidders reach 9.7 percent stake ahead of deal deadline - Reuters,"May 7, 2019 /  2:33 PM / in a minute","1 Min ReadBERLIN (Reuters) - The private equity houses seeking to take over Scout24 said on Tuesday they had built up a 9.69 percent stake in the company as the clock ticked down on their tender offer to buy the Germany-based car and property classifieds group. Hellman & Friedman and Blackstone must win majority support by May 9 for their offer to prevail. They have offered 46 euros per share, valuing Scout24 at 5.7 billion euros ($6.38 billion) including debt. Reporting by Joern Poltz, writing by Riham Alkousaa, editing by Thomas EscrittAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.",https://www.reuters.com/article/scout24-ag-ma/scout24-bidders-reach-9-7-pct-stake-ahead-of-deal-deadline-idUSS8N22B008,2019-05-07,677
9,Britain will take part in European Parliament elections - minister - Reuters,"May 7, 2019 /  2:33 PM / a few seconds ago","1 Min ReadLONDON (Reuters) - Britain will have to take part in European Parliament elections on May 23 as there is not enough time left to get an exit deal ratified by parliament before then, Prime Minister Theresa May’s de facto deputy said on Tuesday. May had hoped to avoid taking part in the vote, but so far talks with the opposition Labour Party aimed at finding a way forward on Brexit have not succeeded in breaking the deadlock. “It is regrettably not going to be possible to finish that process before the date that is legally due for the European parliamentary elections ... So those will now go ahead,” David Lidington, minister for the Cabinet Office, told reporters. “We will be redoubling our efforts ... to try to make sure that the delay after that is as short as possible. Ideally we would like to be in a situation where those MEPs from the UK never actually take their seats in the European parliament, certainly to get this done and dusted by the summer recess.” Reporting by Kylie MacLellan, editing by Elizabeth PiperAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.",https://www.reuters.com/article/britain-eu-election/britain-will-take-part-in-european-parliament-elections-minister-idUSS8N21E00G,2019-05-07,1173
10,Senate's McConnell to declare 'case closed' on Mueller report as Democrats eye contempt - Reuters,"May 7, 2019 /  1:25 PM / in an hour","4 Min ReadWASHINGTON (Reuters) - The divided U.S. Congress’ fight over the Mueller report intensified on Tuesday as the U.S. Senate’s top Republican sought to shut the door on congressional probes while House Democrats pushed ahead with efforts to gather testimony from top administration officials.  U.S. Senate Leader Mitch McConnell, in a speech set for later Tuesday, planned to declare the ""case closed"" after Special Counsel Robert Mueller here released his findings on Russian interference in the 2016 presidential election and possible obstruction of justice by President Donald Trump.  “This investigation went on for two years. It’s finally over,” McConnell said in prepared remarks. He called Mueller’s work “exhaustive” and chided elected officials for failing to unify in its aftermath.  “Would we finally be able to move on from partisan paralysis and breathless conspiracy theorizing? Or would we remain consumed by unhinged partisanship,” McConnell said in excerpts of his planned speech. “Regrettably, I think the answer is obvious.” Meanwhile, House Democrats prepared to meet with Justice Department officials on Tuesday over Attorney General William Barr’s failure to release the full unredacted Mueller report as they prepared to cite him for contempt. The House Judiciary Committee has scheduled a Wednesday vote on a contempt citation for Barr, who missed a second deadline to give lawmakers the full report and failed to appear at a hearing before the panel last week.  The full Democratically controlled House would then vote on the rebuke.     Former White House counsel Don McGahn could also face a contempt citation if he misses today’s deadline to respond to the judiciary committee, CNN reported, citing an unnamed source. The panel has subpoenaed him for documents and called for him to testify later this month.  A contempt citation could lead to a civil court case, raising the possibility of fines and even imprisonment for failure to comply. The judiciary panel is among several congressional committees investigating Trump and his administration on multiple issues, including the Russia investigation and Trump’s personal and business tax returns. The administration is stonewalling the probes while the president, who has denied any wrongdoing, vowed to fight all congressional subpoenas. On Monday, U.S. Treasury Secretary Steven Mnuchin denied the House Ways and Means Committee’s request for Trump’s tax returns, teeing up a likely legal battle. The president’s fellow Republicans, who control the Senate, have rejected the investigations as political theater ahead of the 2020 election.  The Mueller report detailed extensive contacts between Trump’s 2016 campaign and Moscow, but did not find a conspiracy between Moscow and the campaign. It also described actions that Trump took to try to impede Mueller’s investigation.     Democratic lawmakers also want Mueller to testify before Congress, something Trump has balked at although Barr has said he would not object.  If lawmakers decide that Trump obstructed justice by seeking to impede Mueller, the judiciary panel, chaired by Representative Jerry Nadler, could move to impeachment proceedings against the president. Reporting by Richard Cowan; Additional writing by Susan Heavey; Editing by Jeffrey BenkoeAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.",https://www.reuters.com/article/us-usa-trump-congress/senates-mcconnell-to-declare-case-closed-on-mueller-report-as-democrats-eye-contempt-idUSKCN1SD1K9,2019-05-07,3435
11,U.S. House panel readies contempt vote against Barr over Mueller report - Reuters,"May 6, 2019 /  5:02 AM / Updated 11 hours ago","4 Min ReadWASHINGTON (Reuters) - Congressional Democrats moved closer on Monday to citing Attorney General William Barr for contempt of Congress over his failure to give them an unredacted version of the Mueller report, escalating a showdown with the White House. The Democratic-led House Judiciary Committee released a report citing Barr, an appointee of President Donald Trump, for contempt of Congress after the expiration of a second deadline to produce the full report. Barr also skipped a hearing before the committee last week.             The panel will vote on whether to move ahead with a contempt citation on Wednesday, and if it does so, the full House will vote on the issue.  Barr has released a redacted version of Special Counsel Robert Mueller's report here on his investigation into Russian interference in the 2016 U.S. presidential election. House Judiciary Committee Chairman Jerrold Nadler subpoenaed the full document and underlying evidence, setting an initial deadline that Barr missed last week. Assistant Attorney General Stephen Boyd said he was disappointed with the committee’s contempt move and invited committee staff to the Justice Department to discuss a possible compromise on Wednesday afternoon, after the committee’s expected vote. Later, Nadler said in a statement that Justice Department officials had agreed to shift the meeting to Tuesday. The Justice Department did not immediately respond to a request for comment.  The Trump administration is stonewalling multiple probes by House committees.  A contempt citation could lead to a civil court case against Barr, raising the possibility of fines and even imprisonment for failure to comply. Some Democrats on Nadler’s panel say lawmakers could also exercise their own little-used “inherent” authority to act outside the U.S. judicial system to apprehend, fine and even imprison officials who do not comply with congressional subpoenas. “The attorney general’s failure to comply with our subpoena ... leaves us no choice but to initiate contempt proceedings,” Nadler said in a statement. But he held out the possibility that Barr could avoid contempt by making a “good faith” offer for access to the material. Republicans reject Nadler’s efforts as political theater, which they say is intended to satisfy the Democrats’ voters. “Democrats have launched a proxy war smearing the attorney general when their anger actually lies with the president and the special counsel, who found neither conspiracy nor obstruction,” Representative Doug Collins, top Republican on the committee, said in a statement.   Some Democrats have called on Barr to resign, accusing him of protecting Trump by effectively clearing the president of criminal obstruction of justice and excusing actions viewed by them as evidence of misconduct. Nadler’s committee views the full Mueller report as vital to its own corruption and obstruction of justice investigation of Trump. The chairs of five other House committees investigating the president have also called for its release.         The Mueller report details extensive contacts between Trump’s 2016 campaign and Moscow, but did not find that there was a conspiracy between Moscow and the campaign. The report also describes actions Trump took to try to impede Mueller’s investigation.      If lawmakers established that Trump obstructed justice by seeking to impede Mueller, Nadler’s panel could move to impeachment proceedings against the president. Trump denied any wrongdoing in a tweet on Monday. “Also, there are ‘No High Crimes & Misdemeanors,’ No Collusion, No Conspiracy, No Obstruction. ALL THE CRIMES ARE ON THE OTHER SIDE, and that’s what the Dems should be looking at, but they won’t. Nevertheless, the tables are turning!” the president wrote on Twitter.  Reporting by David Morgan; additional reporting by Andy Sullivan; Editing by Kevin Drawbaugh, Alistair Bell and Lisa ShumakerAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.",https://www.reuters.com/article/us-usa-trump-barr/u-s-house-panel-readies-contempt-vote-against-barr-over-mueller-report-idUSKCN1SC08X,2019-05-06,4048
